samplename	var_	count
Bakker_b16	55	3
Bakker_b16	34	1
Bakker_b16	71	21
Bakker_b16	5	1
Bakker_b16	159	2
Bakker_b16	135	5
Bakker_b16	100	3
Bakker_b16	101	6
Bakker_b16	72	2
Bakker_b16	35	4
Bakker_b16	58	11
Bakker_b16	102	3
Bakker_b16	11	902
Bakker_b16	104	3
Bakker_b16	105	6
Bakker_b16	106	103
Bakker_b16	107	1
Bakker_b16	164	1
Bakker_b16	60	1
Bakker_b16	109	1
Bakker_b16	110	7
Bakker_b16	139	1
Bakker_b16	111	3
Bakker_b16	113	1
Bakker_b16	140	1
Bakker_b16	114	2
Bakker_b16	18	13
Bakker_b16	115	5
Bakker_b16	117	2
Bakker_b16	65	1
Bakker_b16	120	5
Bakker_b16	165	1
Bakker_b16	42	1
Bakker_b16	123	1
Bakker_b16	167	1
Bakker_b16	31	5
Bakker_b16	23	87
Bakker_b16	142	2
Bakker_b16	28	5
Bakker_b16	145	1
Bakker_b16	43	3
Bakker_b16	157	1
Bakker_b16	133	1
Bakker_b16	147	6
Bakker_b16	149	1
Bakker_b17	55	2
Bakker_b17	4	2
Bakker_b17	71	29
Bakker_b17	5	1
Bakker_b17	101	1
Bakker_b17	72	1
Bakker_b17	35	1
Bakker_b17	58	12
Bakker_b17	11	791
Bakker_b17	104	1
Bakker_b17	105	3
Bakker_b17	106	84
Bakker_b17	44	1
Bakker_b17	164	1
Bakker_b17	60	4
Bakker_b17	109	7
Bakker_b17	110	10
Bakker_b17	111	2
Bakker_b17	140	1
Bakker_b17	114	1
Bakker_b17	18	11
Bakker_b17	115	8
Bakker_b17	99	2
Bakker_b17	21	3
Bakker_b17	152	1
Bakker_b17	119	1
Bakker_b17	123	5
Bakker_b17	167	1
Bakker_b17	31	5
Bakker_b17	23	64
Bakker_b17	129	1
Bakker_b17	142	2
Bakker_b17	28	23
Bakker_b17	145	1
Bakker_b17	176	3
Bakker_b17	133	1
Bakker_b17	147	3
Bakker_b17	149	2
Bakker_b18	55	2
Bakker_b18	34	2
Bakker_b18	71	13
Bakker_b18	5	1
Bakker_b18	135	83
Bakker_b18	100	2
Bakker_b18	101	1
Bakker_b18	7	7
Bakker_b18	72	6
Bakker_b18	35	7
Bakker_b18	58	12
Bakker_b18	102	4
Bakker_b18	11	832
Bakker_b18	95	6
Bakker_b18	105	7
Bakker_b18	106	84
Bakker_b18	107	2
Bakker_b18	44	4
Bakker_b18	164	1
Bakker_b18	138	1
Bakker_b18	172	2
Bakker_b18	60	35
Bakker_b18	110	5
Bakker_b18	139	4
Bakker_b18	111	14
Bakker_b18	112	1
Bakker_b18	113	6
Bakker_b18	140	5
Bakker_b18	114	2
Bakker_b18	18	16
Bakker_b18	115	35
Bakker_b18	21	2
Bakker_b18	117	2
Bakker_b18	141	1
Bakker_b18	152	1
Bakker_b18	119	1
Bakker_b18	123	8
Bakker_b18	31	3
Bakker_b18	23	51
Bakker_b18	126	1
Bakker_b18	142	1
Bakker_b18	130	2
Bakker_b18	143	2
Bakker_b18	28	1
Bakker_b18	131	2
Bakker_b18	133	1
Bakker_b18	134	1
Bakker_b18	149	2
Bakker_b19	55	3
Bakker_b19	34	3
Bakker_b19	71	19
Bakker_b19	5	1
Bakker_b19	159	2
Bakker_b19	6	1
Bakker_b19	100	5
Bakker_b19	101	10
Bakker_b19	72	11
Bakker_b19	35	6
Bakker_b19	58	19
Bakker_b19	102	2
Bakker_b19	11	839
Bakker_b19	104	5
Bakker_b19	95	1
Bakker_b19	137	3
Bakker_b19	105	16
Bakker_b19	106	165
Bakker_b19	44	8
Bakker_b19	161	1
Bakker_b19	164	2
Bakker_b19	60	42
Bakker_b19	109	3
Bakker_b19	110	6
Bakker_b19	111	10
Bakker_b19	113	3
Bakker_b19	140	1
Bakker_b19	151	1
Bakker_b19	114	5
Bakker_b19	18	20
Bakker_b19	115	13
Bakker_b19	21	2
Bakker_b19	117	4
Bakker_b19	163	1
Bakker_b19	65	1
Bakker_b19	77	1
Bakker_b19	119	5
Bakker_b19	122	1
Bakker_b19	123	4
Bakker_b19	31	7
Bakker_b19	23	59
Bakker_b19	129	1
Bakker_b19	142	2
Bakker_b19	130	2
Bakker_b19	28	3
Bakker_b19	145	5
Bakker_b19	133	3
Bakker_b19	147	8
Bakker_b19	149	1
Bakker_b2	55	1
Bakker_b2	34	2
Bakker_b2	177	2
Bakker_b2	71	19
Bakker_b2	84	1
Bakker_b2	135	1
Bakker_b2	101	2
Bakker_b2	7	2
Bakker_b2	72	3
Bakker_b2	35	10
Bakker_b2	58	4
Bakker_b2	103	1
Bakker_b2	11	627
Bakker_b2	104	8
Bakker_b2	95	1
Bakker_b2	137	4
Bakker_b2	106	87
Bakker_b2	107	4
Bakker_b2	44	3
Bakker_b2	161	1
Bakker_b2	172	1
Bakker_b2	60	5
Bakker_b2	109	98
Bakker_b2	110	69
Bakker_b2	162	1
Bakker_b2	139	6
Bakker_b2	111	9
Bakker_b2	113	2
Bakker_b2	140	1
Bakker_b2	18	76
Bakker_b2	115	12
Bakker_b2	99	11
Bakker_b2	116	2
Bakker_b2	117	4
Bakker_b2	141	1
Bakker_b2	173	1
Bakker_b2	153	2
Bakker_b2	165	1
Bakker_b2	42	3
Bakker_b2	175	3
Bakker_b2	123	1
